+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin3   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin4   |   11.49 ± 1.97   |   11.49 ± 1.97   |      0.3837 ± 0.06783       |      3.256 ± 0.1608       |
| Bin5   |  13.51 ± 2.137   |  13.51 ± 2.137   |      0.3717 ± 0.06676       |      3.081 ± 0.1564       |
| Bin6   |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.3957 ± 0.06888       |      2.994 ± 0.1542       |
| Bin7   |  11.82 ± 1.999   |  11.82 ± 1.999   |      0.4916 ± 0.07678       |      2.526 ± 0.1416       |
| Bin8   |  10.47 ± 1.881   |  10.47 ± 1.881   |      0.2758 ± 0.05751       |       2.24 ± 0.1334       |
| Bin9   |  8.784 ± 1.788   |  8.784 ± 1.788   |      0.2398 ± 0.05363       |      1.954 ± 0.1246       |
| Bin10  |  9.122 ± 1.755   |  9.122 ± 1.755   |      0.4077 ± 0.06992       |      1.302 ± 0.1017       |
| Bin11  |   7.77 ± 1.62    |   7.77 ± 1.62    |      0.2398 ± 0.05363       |      1.318 ± 0.1023       |
| Bin12  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.1439 ± 0.04154       |      1.096 ± 0.0933       |
| Bin13  |  9.122 ± 1.755   |  9.122 ± 1.755   |      0.1319 ± 0.03977       |     0.7227 ± 0.07576      |
| Bin14  |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.09593 ± 0.03392      |     0.6512 ± 0.07192      |
| Bin15  |  5.068 ± 1.308   |  5.068 ± 1.308   |      0.05996 ± 0.02681      |      0.683 ± 0.07365      |
| Bin16  |  4.392 ± 1.218   |  4.392 ± 1.218   |      0.1079 ± 0.03597       |     0.6036 ± 0.06924      |
| Bin17  |  5.068 ± 1.308   |  5.068 ± 1.308   |      0.09593 ± 0.03392      |     0.5559 ± 0.06645      |
| Bin18  |  3.041 ± 1.014   |  3.041 ± 1.014   |      0.05996 ± 0.02681      |     0.3256 ± 0.05085      |
| Bin19  |  5.743 ± 1.393   |  5.743 ± 1.393   |      0.04796 ± 0.02398      |     0.3574 ± 0.05328      |
| Bin20  |   4.054 ± 1.17   |   4.054 ± 1.17   |      0.01199 ± 0.01199      |     0.2541 ± 0.04493      |
| Bin21  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.02398 ± 0.01696      |     0.1668 ± 0.03639      |
| Bin22  |   4.054 ± 1.17   |   4.054 ± 1.17   |      0.02398 ± 0.01696      |      0.135 ± 0.03275      |
| Bin23  |  4.392 ± 1.218   |  4.392 ± 1.218   |      0.04796 ± 0.02398      |      0.143 ± 0.03369      |
| Bin24  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.01199 ± 0.01199      |     0.1588 ± 0.03552      |
| Bin25  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.01199 ± 0.01199      |     0.1509 ± 0.03462      |
| Bin26  |   4.054 ± 1.17   |   4.054 ± 1.17   |      0.01199 ± 0.01199      |     0.1112 ± 0.02972      |
| Bin27  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.02398 ± 0.01696      |      0.135 ± 0.03275      |
| Bin28  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |            0 ± 0            |     0.06354 ± 0.02246     |
| Bin29  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.03597 ± 0.02077      |     0.07942 ± 0.02511     |
| Bin30  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.01199 ± 0.01199      |     0.03971 ± 0.01776     |
| Bin31  |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.1439 ± 0.04154       |     0.7624 ± 0.07782      |
+--------+------------------+------------------+-----------------------------+---------------------------+
