+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.05996 ± 0.02681      |     0.03971 ± 0.01776     |
| Bin3   |   17.91 ± 2.46   |   17.91 ± 2.46   |      0.3358 ± 0.06345       |      2.939 ± 0.1528       |
| Bin4   |  17.57 ± 2.436   |  17.57 ± 2.436   |      0.5156 ± 0.07863       |      4.416 ± 0.1873       |
| Bin5   |  21.62 ± 2.703   |  21.62 ± 2.703   |       0.6355 ± 0.0873       |      4.257 ± 0.1839       |
| Bin6   |  18.24 ± 2.483   |  18.24 ± 2.483   |      0.6115 ± 0.08563       |      3.042 ± 0.1554       |
| Bin7   |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.4317 ± 0.07195       |       2.398 ± 0.138       |
| Bin8   |  9.122 ± 1.755   |  9.122 ± 1.755   |      0.2878 ± 0.05874       |       1.843 ± 0.121       |
| Bin9   |  10.47 ± 1.881   |  10.47 ± 1.881   |      0.1679 ± 0.04487       |      1.437 ± 0.1068       |
| Bin10  |  8.784 ± 1.788   |  8.784 ± 1.788   |      0.2878 ± 0.05874       |      1.326 ± 0.1026       |
| Bin11  |   10.14 ± 1.85   |   10.14 ± 1.85   |      0.08394 ± 0.03173      |      0.7465 ± 0.077       |
| Bin12  |  10.47 ± 1.881   |  10.47 ± 1.881   |      0.04796 ± 0.02398      |     0.6354 ± 0.07104      |
| Bin13  |   4.73 ± 1.264   |   4.73 ± 1.264   |      0.07195 ± 0.02937      |     0.3892 ± 0.05559      |
| Bin14  |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.07195 ± 0.02937      |     0.3733 ± 0.05445      |
| Bin15  |  5.743 ± 1.393   |  5.743 ± 1.393   |      0.03597 ± 0.02077      |     0.2939 ± 0.04831      |
| Bin16  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.05996 ± 0.02681      |     0.2462 ± 0.04422      |
| Bin17  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.02398 ± 0.01696      |     0.2303 ± 0.04277      |
| Bin18  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |      0.04796 ± 0.02398      |     0.1985 ± 0.03971      |
| Bin19  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.01199 ± 0.01199      |     0.1668 ± 0.03639      |
| Bin20  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.03597 ± 0.02077      |     0.06354 ± 0.02246     |
| Bin21  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |            0 ± 0            |     0.08736 ± 0.02634     |
| Bin22  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.02398 ± 0.01696      |     0.1032 ± 0.02864      |
| Bin23  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.02398 ± 0.01696      |     0.08736 ± 0.02634     |
| Bin24  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |            0 ± 0            |     0.07148 ± 0.02383     |
| Bin25  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.02398 ± 0.01696      |     0.06354 ± 0.02246     |
| Bin26  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |            0 ± 0            |     0.07148 ± 0.02383     |
| Bin27  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.01199 ± 0.01199      |     0.01588 ± 0.01123     |
| Bin28  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |            0 ± 0            |     0.04765 ± 0.01945     |
| Bin29  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |            0 ± 0            |     0.03177 ± 0.01588     |
| Bin30  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.04765 ± 0.01945     |
| Bin31  |  3.041 ± 1.014   |  3.041 ± 1.014   |            0 ± 0            |     0.1985 ± 0.03971      |
+--------+------------------+------------------+-----------------------------+---------------------------+
