+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin3   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin4   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin5   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin6   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin7   |  16.55 ± 2.365   |  16.55 ± 2.365   |      0.05996 ± 0.02681      |     0.5162 ± 0.06403      |
| Bin8   |  15.88 ± 2.316   |  15.88 ± 2.316   |      0.09593 ± 0.03392      |     0.4924 ± 0.06254      |
| Bin9   |   17.91 ± 2.46   |   17.91 ± 2.46   |      0.1439 ± 0.04154       |     0.6036 ± 0.06924      |
| Bin10  |  18.24 ± 2.483   |  18.24 ± 2.483   |      0.2038 ± 0.04944       |      0.6989 ± 0.0745      |
| Bin11  |  18.92 ± 2.528   |  18.92 ± 2.528   |      0.3118 ± 0.06114       |      1.334 ± 0.1029       |
| Bin12  |  14.19 ± 2.189   |  14.19 ± 2.189   |       0.8873 ± 0.1032       |      2.446 ± 0.1394       |
| Bin13  |   13.18 ± 2.11   |   13.18 ± 2.11   |       1.223 ± 0.1211        |       2.986 ± 0.154       |
| Bin14  |  11.15 ± 1.941   |  11.15 ± 1.941   |      0.5756 ± 0.08308       |      2.391 ± 0.1378       |
| Bin15  |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.1919 ± 0.04796       |       1.7 ± 0.1162        |
| Bin16  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.01199 ± 0.01199      |      1.811 ± 0.1199       |
| Bin17  |  6.081 ± 1.433   |  6.081 ± 1.433   |            0 ± 0            |      2.049 ± 0.1276       |
| Bin18  |   4.054 ± 1.17   |   4.054 ± 1.17   |      0.04796 ± 0.02398      |      2.256 ± 0.1338       |
| Bin19  |  6.081 ± 1.433   |  6.081 ± 1.433   |      0.07195 ± 0.02937      |      2.486 ± 0.1405       |
| Bin20  |  5.068 ± 1.308   |  5.068 ± 1.308   |      0.03597 ± 0.02077      |      1.962 ± 0.1248       |
| Bin21  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.02398 ± 0.01696      |      1.12 ± 0.09431       |
| Bin22  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.01199 ± 0.01199      |     0.5718 ± 0.06739      |
| Bin23  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |            0 ± 0            |     0.1827 ± 0.03809      |
| Bin24  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.01199 ± 0.01199      |     0.07148 ± 0.02383     |
| Bin25  |   3.041 ± 1.12   |   3.041 ± 1.12   |            0 ± 0            |     0.03177 ± 0.01588     |
| Bin26  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |            0 ± 0            |     0.01588 ± 0.01123     |
| Bin27  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |            0 ± 0            |     0.01588 ± 0.01123     |
| Bin28  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |            0 ± 0            |     0.03971 ± 0.01776     |
| Bin29  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |            0 ± 0            |    0.007942 ± 0.007942    |
| Bin30  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |           0 ± 0           |
| Bin31  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |            0 ± 0            |     0.07942 ± 0.02511     |
+--------+------------------+------------------+-----------------------------+---------------------------+
