+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.01588 ± 0.01123     |
| Bin3   |  1.014 ± 0.5852  |  1.014 ± 0.5852  |      0.02398 ± 0.01696      |     0.2541 ± 0.04493      |
| Bin4   |  5.068 ± 1.308   |  5.068 ± 1.308   |      0.1559 ± 0.04323       |      1.858 ± 0.1215       |
| Bin5   |  14.87 ± 2.291   |  14.87 ± 2.291   |      0.4557 ± 0.07392       |      3.622 ± 0.1696       |
| Bin6   |  17.57 ± 2.436   |  17.57 ± 2.436   |      0.5996 ± 0.08479       |       3.78 ± 0.1733       |
| Bin7   |  16.55 ± 2.365   |  16.55 ± 2.365   |      0.5996 ± 0.08479       |      3.455 ± 0.1656       |
| Bin8   |  18.92 ± 2.528   |  18.92 ± 2.528   |      0.5636 ± 0.08221       |       3.026 ± 0.155       |
| Bin9   |  17.23 ± 2.413   |  17.23 ± 2.413   |      0.3597 ± 0.06568       |      2.494 ± 0.1407       |
| Bin10  |  14.53 ± 2.215   |  14.53 ± 2.215   |      0.2158 ± 0.05087       |      1.628 ± 0.1137       |
| Bin11  |  11.82 ± 1.999   |  11.82 ± 1.999   |      0.2158 ± 0.05087       |       1.414 ± 0.106       |
| Bin12  |  9.797 ± 1.819   |  9.797 ± 1.819   |      0.1559 ± 0.04323       |      1.056 ± 0.09159      |
| Bin13  |  8.446 ± 1.689   |  8.446 ± 1.689   |      0.1199 ± 0.03792       |     0.7545 ± 0.07741      |
| Bin14  |   7.77 ± 1.62    |   7.77 ± 1.62    |      0.04796 ± 0.02398      |     0.5559 ± 0.06645      |
| Bin15  |  5.743 ± 1.393   |  5.743 ± 1.393   |      0.07195 ± 0.02937      |     0.3971 ± 0.05616      |
| Bin16  |  5.743 ± 1.393   |  5.743 ± 1.393   |      0.03597 ± 0.02077      |     0.3177 ± 0.05023      |
| Bin17  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.05996 ± 0.02681      |     0.2462 ± 0.04422      |
| Bin18  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.03597 ± 0.02077      |     0.2303 ± 0.04277      |
| Bin19  |  3.378 ± 1.068   |  3.378 ± 1.068   |      0.02398 ± 0.01696      |     0.1747 ± 0.03725      |
| Bin20  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.01199 ± 0.01199      |     0.08736 ± 0.02634     |
| Bin21  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.02398 ± 0.01696      |     0.07148 ± 0.02383     |
| Bin22  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.02398 ± 0.01696      |     0.07148 ± 0.02383     |
| Bin23  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.01199 ± 0.01199      |     0.06354 ± 0.02246     |
| Bin24  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.02398 ± 0.01696      |     0.06354 ± 0.02246     |
| Bin25  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.01199 ± 0.01199      |     0.05559 ± 0.02101     |
| Bin26  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |     0.03177 ± 0.01588     |
| Bin27  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |            0 ± 0            |    0.007942 ± 0.007942    |
| Bin28  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.02383 ± 0.01376     |
| Bin29  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.01199 ± 0.01199      |     0.03177 ± 0.01588     |
| Bin30  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |           0 ± 0           |
| Bin31  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |      0.03597 ± 0.02077      |     0.07942 ± 0.02511     |
+--------+------------------+------------------+-----------------------------+---------------------------+
