+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |            0 ± 0            |     0.04765 ± 0.01945     |
| Bin2   |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.02398 ± 0.01696      |     0.3812 ± 0.05502      |
| Bin3   |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.1079 ± 0.03597       |     0.8339 ± 0.08138      |
| Bin4   |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.09593 ± 0.03392      |      1.541 ± 0.1106       |
| Bin5   |   4.73 ± 1.264   |   4.73 ± 1.264   |      0.3837 ± 0.06783       |      2.176 ± 0.1315       |
| Bin6   |   4.054 ± 1.17   |   4.054 ± 1.17   |      0.3477 ± 0.06457       |      2.033 ± 0.1271       |
| Bin7   |  6.419 ± 1.473   |  6.419 ± 1.473   |      0.3837 ± 0.06783       |       2.097 ± 0.129       |
| Bin8   |  8.784 ± 1.788   |  8.784 ± 1.788   |      0.2278 ± 0.05227       |       1.723 ± 0.117       |
| Bin9   |  7.433 ± 1.585   |  7.433 ± 1.585   |      0.1319 ± 0.03977       |      1.112 ± 0.09397      |
| Bin10  |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.1799 ± 0.04644       |     0.6512 ± 0.07192      |
| Bin11  |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.04796 ± 0.02398      |     0.3812 ± 0.05502      |
| Bin12  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.03597 ± 0.02077      |      0.27 ± 0.04631       |
| Bin13  |   4.73 ± 1.264   |   4.73 ± 1.264   |      0.01199 ± 0.01199      |      0.135 ± 0.03275      |
| Bin14  |  5.405 ± 1.351   |  5.405 ± 1.351   |            0 ± 0            |     0.06354 ± 0.02246     |
| Bin15  |  5.405 ± 1.351   |  5.405 ± 1.351   |            0 ± 0            |     0.04765 ± 0.01945     |
| Bin16  |  3.378 ± 1.068   |  3.378 ± 1.068   |      0.01199 ± 0.01199      |     0.03971 ± 0.01776     |
| Bin17  |   4.054 ± 1.17   |   4.054 ± 1.17   |            0 ± 0            |     0.07942 ± 0.02511     |
| Bin18  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.01199 ± 0.01199      |     0.1191 ± 0.03076      |
| Bin19  |  7.433 ± 1.585   |  7.433 ± 1.585   |      0.07195 ± 0.02937      |     0.1668 ± 0.03639      |
| Bin20  |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.04796 ± 0.02398      |     0.3892 ± 0.05559      |
| Bin21  |  12.84 ± 2.083   |  12.84 ± 2.083   |      0.1079 ± 0.03597       |     0.8021 ± 0.07982      |
| Bin22  |  12.84 ± 2.083   |  12.84 ± 2.083   |      0.2518 ± 0.05495       |      1.017 ± 0.08985      |
| Bin23  |  13.51 ± 2.137   |  13.51 ± 2.137   |      0.2518 ± 0.05495       |      1.501 ± 0.1092       |
| Bin24  |  5.743 ± 1.393   |  5.743 ± 1.393   |      0.2758 ± 0.05751       |      1.779 ± 0.1189       |
| Bin25  |  5.068 ± 1.308   |  5.068 ± 1.308   |      0.2518 ± 0.05495       |      1.954 ± 0.1246       |
| Bin26  |  3.378 ± 1.068   |  3.378 ± 1.068   |      0.2518 ± 0.05495       |      1.922 ± 0.1235       |
| Bin27  |  3.378 ± 1.068   |  3.378 ± 1.068   |      0.2278 ± 0.05227       |      1.398 ± 0.1054       |
| Bin28  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.1199 ± 0.03792       |     0.7307 ± 0.07618      |
| Bin29  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.03597 ± 0.02077      |      0.4368 ± 0.0589      |
| Bin30  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.01199 ± 0.01199      |     0.03971 ± 0.01776     |
| Bin31  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
+--------+------------------+------------------+-----------------------------+---------------------------+
