+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |  1.014 ± 0.5852  |  1.014 ± 0.5852  |      0.1919 ± 0.04796       |      16.65 ± 0.3637       |
| Bin2   |  3.041 ± 1.014   |  3.041 ± 1.014   |      0.01199 ± 0.01199      |      0.413 ± 0.05727      |
| Bin3   |  4.392 ± 1.218   |  4.392 ± 1.218   |      0.01199 ± 0.01199      |     0.07942 ± 0.02511     |
| Bin4   |   4.73 ± 1.264   |   4.73 ± 1.264   |            0 ± 0            |     0.05559 ± 0.02101     |
| Bin5   |   4.73 ± 1.351   |   4.73 ± 1.351   |            0 ± 0            |     0.03177 ± 0.01588     |
| Bin6   |   7.77 ± 1.62    |   7.77 ± 1.62    |      0.04796 ± 0.02398      |     0.06354 ± 0.02246     |
| Bin7   |   12.5 ± 2.055   |   12.5 ± 2.055   |      0.05996 ± 0.02681      |     0.1985 ± 0.03971      |
| Bin8   |   9.46 ± 1.788   |   9.46 ± 1.788   |      0.1439 ± 0.04154       |     0.3018 ± 0.04896      |
| Bin9   |   9.46 ± 1.788   |   9.46 ± 1.788   |      0.1919 ± 0.04796       |     0.4209 ± 0.05782      |
| Bin10  |   9.46 ± 1.788   |   9.46 ± 1.788   |      0.1679 ± 0.04487       |     0.3653 ± 0.05387      |
| Bin11  |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.1559 ± 0.04323       |     0.4527 ± 0.05996      |
| Bin12  |  10.47 ± 1.881   |  10.47 ± 1.881   |      0.2038 ± 0.04944       |     0.4924 ± 0.06254      |
| Bin13  |  13.51 ± 2.137   |  13.51 ± 2.137   |      0.2278 ± 0.05227       |     0.4924 ± 0.06254      |
| Bin14  |  14.19 ± 2.189   |  14.19 ± 2.189   |      0.2638 ± 0.05624       |     0.6671 ± 0.07279      |
| Bin15  |  14.87 ± 2.241   |  14.87 ± 2.241   |      0.2758 ± 0.05751       |     0.6195 ± 0.07014      |
| Bin16  |  12.84 ± 2.083   |  12.84 ± 2.083   |      0.4317 ± 0.07195       |     0.8021 ± 0.07982      |
| Bin17  |  8.446 ± 1.689   |  8.446 ± 1.689   |      0.3477 ± 0.06457       |      0.961 ± 0.08736      |
| Bin18  |  9.122 ± 1.755   |  9.122 ± 1.755   |      0.4077 ± 0.06992       |     0.9372 ± 0.08627      |
| Bin19  |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.3957 ± 0.06888       |     0.7068 ± 0.07492      |
| Bin20  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.1439 ± 0.04154       |     0.4448 ± 0.05943      |
| Bin21  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.05996 ± 0.02681      |      0.278 ± 0.04699      |
| Bin22  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.05996 ± 0.02681      |     0.1827 ± 0.03809      |
| Bin23  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.02398 ± 0.01696      |     0.1191 ± 0.03076      |
| Bin24  |      0 ± 0       |      0 ± 0       |      0.04796 ± 0.02398      |     0.03971 ± 0.01776     |
| Bin25  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.03971 ± 0.01776     |
| Bin26  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.02383 ± 0.01376     |
| Bin27  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.01588 ± 0.01123     |
| Bin28  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin29  |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin30  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |           0 ± 0           |
| Bin31  |      0 ± 0       |      0 ± 0       |            0 ± 0            |    0.007942 ± 0.007942    |
+--------+------------------+------------------+-----------------------------+---------------------------+
