+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin3   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin4   |  58.45 ± 4.444   |  58.45 ± 4.444   |      0.2398 ± 0.05363       |      1.191 ± 0.09727      |
| Bin5   |  42.57 ± 3.792   |  42.57 ± 3.792   |      0.3358 ± 0.06345       |       2.128 ± 0.13        |
| Bin6   |   32.43 ± 3.31   |   32.43 ± 3.31   |      0.3957 ± 0.06888       |      2.303 ± 0.1352       |
| Bin7   |  16.55 ± 2.365   |  16.55 ± 2.365   |      0.4437 ± 0.07294       |      2.859 ± 0.1507       |
| Bin8   |  10.14 ± 1.911   |  10.14 ± 1.911   |      0.2278 ± 0.05227       |      2.414 ± 0.1385       |
| Bin9   |  4.392 ± 1.218   |  4.392 ± 1.218   |      0.2998 ± 0.05996       |       2.24 ± 0.1334       |
| Bin10  |  2.703 ± 0.9556  |  2.703 ± 0.9556  |      0.2398 ± 0.05363       |      2.073 ± 0.1283       |
| Bin11  |   3.716 ± 1.12   |   3.716 ± 1.12   |      0.2998 ± 0.05996       |      1.835 ± 0.1207       |
| Bin12  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |      0.1439 ± 0.04154       |       1.58 ± 0.112        |
| Bin13  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |      0.2518 ± 0.05495       |      1.255 ± 0.09983      |
| Bin14  |      0 ± 0       |      0 ± 0       |      0.1559 ± 0.04323       |      1.064 ± 0.09193      |
| Bin15  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |      0.1439 ± 0.04154       |     0.8895 ± 0.08405      |
| Bin16  |      0 ± 0       |      0 ± 0       |      0.1559 ± 0.04323       |      0.691 ± 0.07408      |
| Bin17  |      0 ± 0       |      0 ± 0       |      0.09593 ± 0.03392      |     0.5401 ± 0.06549      |
| Bin18  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.04796 ± 0.02398      |      0.413 ± 0.05727      |
| Bin19  |      0 ± 0       |      0 ± 0       |      0.04796 ± 0.02398      |     0.5083 ± 0.06354      |
| Bin20  |      0 ± 0       |      0 ± 0       |      0.08394 ± 0.03173      |      0.4368 ± 0.0589      |
| Bin21  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.07195 ± 0.02937      |     0.2621 ± 0.04562      |
| Bin22  |      0 ± 0       |      0 ± 0       |      0.08394 ± 0.03173      |     0.2541 ± 0.04493      |
| Bin23  |      0 ± 0       |      0 ± 0       |      0.04796 ± 0.02398      |     0.1588 ± 0.03552      |
| Bin24  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.1747 ± 0.03725      |
| Bin25  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.1112 ± 0.02972      |
| Bin26  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.1112 ± 0.02972      |
| Bin27  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.07942 ± 0.02511     |
| Bin28  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.06354 ± 0.02246     |
| Bin29  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.08736 ± 0.02634     |
| Bin30  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.03177 ± 0.01588     |
| Bin31  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.1112 ± 0.02972      |
+--------+------------------+------------------+-----------------------------+---------------------------+
