+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin3   |  35.14 ± 3.478   |  35.14 ± 3.478   |      0.2398 ± 0.05363       |     0.3892 ± 0.05559      |
| Bin4   |  37.16 ± 3.543   |  37.16 ± 3.543   |      0.3118 ± 0.06114       |     0.6115 ± 0.06969      |
| Bin5   |  23.99 ± 2.847   |  23.99 ± 2.847   |      0.4317 ± 0.07195       |     0.5718 ± 0.06739      |
| Bin6   |  18.92 ± 2.528   |  18.92 ± 2.528   |      0.2878 ± 0.05874       |     0.7307 ± 0.07618      |
| Bin7   |  15.88 ± 2.316   |  15.88 ± 2.316   |      0.3238 ± 0.06231       |     0.8339 ± 0.08138      |
| Bin8   |   11.49 ± 1.97   |   11.49 ± 1.97   |      0.1799 ± 0.04644       |       0.953 ± 0.087       |
| Bin9   |  8.784 ± 1.723   |  8.784 ± 1.723   |      0.1919 ± 0.04796       |     0.8339 ± 0.08138      |
| Bin10  |  5.068 ± 1.308   |  5.068 ± 1.308   |      0.1559 ± 0.04323       |     0.7148 ± 0.07534      |
| Bin11  |  4.392 ± 1.218   |  4.392 ± 1.218   |      0.1319 ± 0.03977       |     0.8577 ± 0.08254      |
| Bin12  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.2278 ± 0.05227       |      1.104 ± 0.09363      |
| Bin13  |  2.365 ± 0.8938  |  2.365 ± 0.8938  |      0.1439 ± 0.04154       |     0.9927 ± 0.08879      |
| Bin14  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.1799 ± 0.04644       |     0.7942 ± 0.07942      |
| Bin15  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.1199 ± 0.03792       |     0.8339 ± 0.08138      |
| Bin16  |  2.027 ± 0.8275  |  2.027 ± 0.8275  |      0.05996 ± 0.02681      |     0.8101 ± 0.08021      |
| Bin17  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.07195 ± 0.02937      |     0.7386 ± 0.07659      |
| Bin18  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.07195 ± 0.02937      |      0.683 ± 0.07365      |
| Bin19  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |      0.09593 ± 0.03392      |      0.826 ± 0.08099      |
| Bin20  |  1.014 ± 0.5852  |  1.014 ± 0.5852  |      0.05996 ± 0.02681      |     0.7307 ± 0.07618      |
| Bin21  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.05996 ± 0.02681      |      0.6989 ± 0.0745      |
| Bin22  |      0 ± 0       |      0 ± 0       |      0.09593 ± 0.03392      |      0.818 ± 0.0806       |
| Bin23  |      0 ± 0       |      0 ± 0       |      0.03597 ± 0.02077      |     0.6195 ± 0.07014      |
| Bin24  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.04796 ± 0.02398      |     0.6036 ± 0.06924      |
| Bin25  |      0 ± 0       |      0 ± 0       |      0.03597 ± 0.02077      |     0.5162 ± 0.06403      |
| Bin26  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.02398 ± 0.01696      |     0.6433 ± 0.07148      |
| Bin27  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |     0.5401 ± 0.06549      |
| Bin28  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.5003 ± 0.06304      |
| Bin29  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.04796 ± 0.02398      |     0.5242 ± 0.06452      |
| Bin30  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.5718 ± 0.06739      |
| Bin31  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.2158 ± 0.05087       |       5.821 ± 0.215       |
+--------+------------------+------------------+-----------------------------+---------------------------+
