+--------+------------------+------------------+-----------------------------+---------------------------+
| Bin#   |        tt        |      Total       | VBSOSWWH C_{2V}=3 [10.00x]  | VBSWZH C_{2V}=3 [10.00x]  |
|--------+------------------+------------------+-----------------------------+---------------------------+
| Bin0   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin1   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin2   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin3   |      0 ± 0       |      0 ± 0       |            0 ± 0            |           0 ± 0           |
| Bin4   |  26.01 ± 2.965   |  26.01 ± 2.965   |      0.09593 ± 0.03392      |     0.7942 ± 0.07942      |
| Bin5   |  46.28 ± 3.954   |  46.28 ± 3.954   |      0.2038 ± 0.04944       |      1.549 ± 0.1109       |
| Bin6   |  36.15 ± 3.495   |  36.15 ± 3.495   |      0.3358 ± 0.06345       |       1.843 ± 0.121       |
| Bin7   |  20.61 ± 2.639   |  20.61 ± 2.639   |      0.2638 ± 0.05624       |      2.184 ± 0.1317       |
| Bin8   |  13.85 ± 2.215   |  13.85 ± 2.215   |      0.2878 ± 0.05874       |      2.121 ± 0.1298       |
| Bin9   |   10.14 ± 1.85   |   10.14 ± 1.85   |      0.3118 ± 0.06114       |      2.248 ± 0.1336       |
| Bin10  |  5.743 ± 1.393   |  5.743 ± 1.393   |      0.3597 ± 0.06568       |       1.906 ± 0.123       |
| Bin11  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.2758 ± 0.05751       |       1.97 ± 0.1251       |
| Bin12  |  5.405 ± 1.351   |  5.405 ± 1.351   |      0.3118 ± 0.06114       |       1.7 ± 0.1162        |
| Bin13  |  3.041 ± 1.014   |  3.041 ± 1.014   |      0.2638 ± 0.05624       |      1.477 ± 0.1083       |
| Bin14  |  1.689 ± 0.7554  |  1.689 ± 0.7554  |      0.1559 ± 0.04323       |      1.453 ± 0.1074       |
| Bin15  |  1.351 ± 0.6757  |  1.351 ± 0.6757  |      0.1799 ± 0.04644       |      1.009 ± 0.0895       |
| Bin16  | 0.6757 ± 0.4778  | 0.6757 ± 0.4778  |      0.2158 ± 0.05087       |      0.9054 ± 0.0848      |
| Bin17  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.1559 ± 0.04323       |     0.6433 ± 0.07148      |
| Bin18  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.08394 ± 0.03173      |     0.6354 ± 0.07104      |
| Bin19  |      0 ± 0       |      0 ± 0       |      0.07195 ± 0.02937      |     0.5798 ± 0.06786      |
| Bin20  |      0 ± 0       |      0 ± 0       |      0.03597 ± 0.02077      |      0.4686 ± 0.061       |
| Bin21  | 0.3378 ± 0.3378  | 0.3378 ± 0.3378  |      0.03597 ± 0.02077      |     0.3574 ± 0.05328      |
| Bin22  |      0 ± 0       |      0 ± 0       |      0.09593 ± 0.03392      |     0.4289 ± 0.05836      |
| Bin23  |      0 ± 0       |      0 ± 0       |      0.05996 ± 0.02681      |     0.3177 ± 0.05023      |
| Bin24  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.3018 ± 0.04896      |
| Bin25  |      0 ± 0       |      0 ± 0       |      0.01199 ± 0.01199      |      0.2065 ± 0.0405      |
| Bin26  |      0 ± 0       |      0 ± 0       |      0.02398 ± 0.01696      |     0.1668 ± 0.03639      |
| Bin27  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.1509 ± 0.03462      |
| Bin28  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.07942 ± 0.02511     |
| Bin29  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.1112 ± 0.02972      |
| Bin30  |      0 ± 0       |      0 ± 0       |            0 ± 0            |     0.04765 ± 0.01945     |
| Bin31  |      0 ± 0       |      0 ± 0       |      0.04796 ± 0.02398      |     0.2144 ± 0.04127      |
+--------+------------------+------------------+-----------------------------+---------------------------+
