+--------+-----------------+-----------------+
| Bin#   |     VBSWZH      |      Total      |
|--------+-----------------+-----------------+
| Bin0   |    0.0 ± 0.0    |    0.0 ± 0.0    |
| Bin1   |    0.0 ± 0.0    |    0.0 ± 0.0    |
| Bin2   |  12.33 ± 5.51   |  12.33 ± 5.51   |
| Bin3   |  12.33 ± 5.51   |  12.33 ± 5.51   |
| Bin4   |   24.66 ± 7.8   |   24.66 ± 7.8   |
| Bin5   |  36.99 ± 9.55   |  36.99 ± 9.55   |
| Bin6   |  32.06 ± 8.89   |  32.06 ± 8.89   |
| Bin7   |  41.92 ± 10.17  |  41.92 ± 10.17  |
| Bin8   |  49.32 ± 11.03  |  49.32 ± 11.03  |
| Bin9   |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin10  |  36.99 ± 9.55   |  36.99 ± 9.55   |
| Bin11  |  46.85 ± 10.75  |  46.85 ± 10.75  |
| Bin12  |   22.19 ± 7.4   |   22.19 ± 7.4   |
| Bin13  |  39.46 ± 9.86   |  39.46 ± 9.86   |
| Bin14  |  49.32 ± 11.03  |  49.32 ± 11.03  |
| Bin15  |  27.13 ± 8.18   |  27.13 ± 8.18   |
| Bin16  |  41.92 ± 10.17  |  41.92 ± 10.17  |
| Bin17  |  39.46 ± 9.86   |  39.46 ± 9.86   |
| Bin18  |   24.66 ± 7.8   |   24.66 ± 7.8   |
| Bin19  |  36.99 ± 9.55   |  36.99 ± 9.55   |
| Bin20  |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin21  |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin22  |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin23  |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin24  |  41.92 ± 10.17  |  41.92 ± 10.17  |
| Bin25  |  41.92 ± 10.17  |  41.92 ± 10.17  |
| Bin26  |  49.32 ± 11.03  |  49.32 ± 11.03  |
| Bin27  |  32.06 ± 8.89   |  32.06 ± 8.89   |
| Bin28  |  49.32 ± 11.03  |  49.32 ± 11.03  |
| Bin29  |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin30  |  32.06 ± 8.89   |  32.06 ± 8.89   |
| Bin31  |   24.66 ± 7.8   |   24.66 ± 7.8   |
| Bin32  |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin33  |  49.32 ± 11.03  |  49.32 ± 11.03  |
| Bin34  |   24.66 ± 7.8   |   24.66 ± 7.8   |
| Bin35  |  19.73 ± 6.97   |  19.73 ± 6.97   |
| Bin36  |   4.93 ± 3.49   |   4.93 ± 3.49   |
| Bin37  |  41.92 ± 10.17  |  41.92 ± 10.17  |
| Bin38  |  39.46 ± 9.86   |  39.46 ± 9.86   |
| Bin39  |  27.13 ± 8.18   |  27.13 ± 8.18   |
| Bin40  |  19.73 ± 6.97   |  19.73 ± 6.97   |
| Bin41  |   14.8 ± 6.04   |   14.8 ± 6.04   |
| Bin42  |  17.26 ± 6.52   |  17.26 ± 6.52   |
| Bin43  |  27.13 ± 8.18   |  27.13 ± 8.18   |
| Bin44  |  34.52 ± 9.23   |  34.52 ± 9.23   |
| Bin45  |  17.26 ± 6.52   |  17.26 ± 6.52   |
| Bin46  |   22.19 ± 7.4   |   22.19 ± 7.4   |
| Bin47  |  17.26 ± 6.52   |  17.26 ± 6.52   |
| Bin48  |  29.59 ± 8.54   |  29.59 ± 8.54   |
| Bin49  |  19.73 ± 6.97   |  19.73 ± 6.97   |
| Bin50  |  17.26 ± 6.52   |  17.26 ± 6.52   |
| Bin51  |  17.26 ± 6.52   |  17.26 ± 6.52   |
| Bin52  |   9.86 ± 4.93   |   9.86 ± 4.93   |
| Bin53  |  17.26 ± 6.52   |  17.26 ± 6.52   |
| Bin54  |   9.86 ± 4.93   |   9.86 ± 4.93   |
| Bin55  |   14.8 ± 6.04   |   14.8 ± 6.04   |
| Bin56  |   14.8 ± 6.04   |   14.8 ± 6.04   |
| Bin57  |  17.26 ± 6.52   |  17.26 ± 6.52   |
| Bin58  |  12.33 ± 5.51   |  12.33 ± 5.51   |
| Bin59  |   9.86 ± 4.93   |   9.86 ± 4.93   |
| Bin60  |   14.8 ± 6.04   |   14.8 ± 6.04   |
| Bin61  | 281.12 ± 26.33  | 281.12 ± 26.33  |
+--------+-----------------+-----------------+
