+--------+--------------+--------------+
| Bin#   |    VBSWZH    |    Total     |
|--------+--------------+--------------+
| Bin0   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin1   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin2   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin3   |  1.0 ± 1.0   |  1.0 ± 1.0   |
| Bin4   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin5   |  2.0 ± 1.41  |  2.0 ± 1.41  |
| Bin6   |  3.0 ± 1.73  |  3.0 ± 1.73  |
| Bin7   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin8   |  2.0 ± 1.41  |  2.0 ± 1.41  |
| Bin9   |  5.0 ± 2.24  |  5.0 ± 2.24  |
| Bin10  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin11  |  5.0 ± 2.24  |  5.0 ± 2.24  |
| Bin12  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin13  |  9.0 ± 3.0   |  9.0 ± 3.0   |
| Bin14  |  7.0 ± 2.65  |  7.0 ± 2.65  |
| Bin15  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin16  | 12.0 ± 3.46  | 12.0 ± 3.46  |
| Bin17  | 10.0 ± 3.16  | 10.0 ± 3.16  |
| Bin18  | 10.0 ± 3.16  | 10.0 ± 3.16  |
| Bin19  |  9.0 ± 3.0   |  9.0 ± 3.0   |
| Bin20  |  6.0 ± 2.45  |  6.0 ± 2.45  |
| Bin21  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin22  | 14.0 ± 3.74  | 14.0 ± 3.74  |
| Bin23  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin24  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin25  |  5.0 ± 2.24  |  5.0 ± 2.24  |
| Bin26  | 13.0 ± 3.61  | 13.0 ± 3.61  |
| Bin27  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin28  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin29  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin30  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin31  |  6.0 ± 2.45  |  6.0 ± 2.45  |
| Bin32  |  7.0 ± 2.65  |  7.0 ± 2.65  |
| Bin33  |  9.0 ± 3.0   |  9.0 ± 3.0   |
| Bin34  |  8.0 ± 2.83  |  8.0 ± 2.83  |
| Bin35  | 10.0 ± 3.16  | 10.0 ± 3.16  |
| Bin36  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin37  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin38  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin39  |  5.0 ± 2.24  |  5.0 ± 2.24  |
| Bin40  |  7.0 ± 2.65  |  7.0 ± 2.65  |
| Bin41  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin42  |  3.0 ± 1.73  |  3.0 ± 1.73  |
| Bin43  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin44  |  3.0 ± 1.73  |  3.0 ± 1.73  |
| Bin45  |  5.0 ± 2.24  |  5.0 ± 2.24  |
| Bin46  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin47  |  2.0 ± 1.41  |  2.0 ± 1.41  |
| Bin48  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin49  |  1.0 ± 1.0   |  1.0 ± 1.0   |
| Bin50  |  4.0 ± 2.0   |  4.0 ± 2.0   |
| Bin51  |  3.0 ± 1.73  |  3.0 ± 1.73  |
| Bin52  |  3.0 ± 1.73  |  3.0 ± 1.73  |
| Bin53  |  1.0 ± 1.0   |  1.0 ± 1.0   |
| Bin54  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin55  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin56  |  2.0 ± 1.41  |  2.0 ± 1.41  |
| Bin57  |  2.0 ± 1.41  |  2.0 ± 1.41  |
| Bin58  |  1.0 ± 1.0   |  1.0 ± 1.0   |
| Bin59  |  2.0 ± 1.41  |  2.0 ± 1.41  |
| Bin60  |  1.0 ± 1.0   |  1.0 ± 1.0   |
| Bin61  | 18.0 ± 4.24  | 18.0 ± 4.24  |
+--------+--------------+--------------+
