+--------+----------------+----------------+
| Bin#   |     VBSWZH     |     Total      |
|--------+----------------+----------------+
| Bin0   |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin1   |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin2   |  22.19 ± 7.4   |  22.19 ± 7.4   |
| Bin3   |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin4   |  17.26 ± 6.52  |  17.26 ± 6.52  |
| Bin5   |  27.13 ± 8.18  |  27.13 ± 8.18  |
| Bin6   |  22.19 ± 7.4   |  22.19 ± 7.4   |
| Bin7   |  27.13 ± 8.18  |  27.13 ± 8.18  |
| Bin8   |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin9   |  32.06 ± 8.89  |  32.06 ± 8.89  |
| Bin10  | 41.92 ± 10.17  | 41.92 ± 10.17  |
| Bin11  |  29.59 ± 8.54  |  29.59 ± 8.54  |
| Bin12  |  39.46 ± 9.86  |  39.46 ± 9.86  |
| Bin13  | 46.85 ± 10.75  | 46.85 ± 10.75  |
| Bin14  |  27.13 ± 8.18  |  27.13 ± 8.18  |
| Bin15  |  32.06 ± 8.89  |  32.06 ± 8.89  |
| Bin16  |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin17  |  17.26 ± 6.52  |  17.26 ± 6.52  |
| Bin18  |  36.99 ± 9.55  |  36.99 ± 9.55  |
| Bin19  |  34.52 ± 9.23  |  34.52 ± 9.23  |
| Bin20  |  12.33 ± 5.51  |  12.33 ± 5.51  |
| Bin21  |  19.73 ± 6.97  |  19.73 ± 6.97  |
| Bin22  |  24.66 ± 7.8   |  24.66 ± 7.8   |
| Bin23  |  9.86 ± 4.93   |  9.86 ± 4.93   |
| Bin24  |  19.73 ± 6.97  |  19.73 ± 6.97  |
| Bin25  |  27.13 ± 8.18  |  27.13 ± 8.18  |
| Bin26  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin27  |  14.8 ± 6.04   |  14.8 ± 6.04   |
| Bin28  |  12.33 ± 5.51  |  12.33 ± 5.51  |
| Bin29  |   7.4 ± 4.27   |   7.4 ± 4.27   |
| Bin30  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin31  |   7.4 ± 4.27   |   7.4 ± 4.27   |
| Bin32  |   7.4 ± 4.27   |   7.4 ± 4.27   |
| Bin33  |  4.93 ± 3.49   |  4.93 ± 3.49   |
| Bin34  |  9.86 ± 4.93   |  9.86 ± 4.93   |
| Bin35  |   7.4 ± 4.27   |   7.4 ± 4.27   |
| Bin36  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin37  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin38  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin39  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin40  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin41  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin42  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin43  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin44  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin45  |  4.93 ± 3.49   |  4.93 ± 3.49   |
| Bin46  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin47  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin48  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin49  |  2.47 ± 2.47   |  2.47 ± 2.47   |
| Bin50  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin51  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin52  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin53  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin54  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin55  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin56  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin57  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin58  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin59  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin60  |   0.0 ± 0.0    |   0.0 ± 0.0    |
| Bin61  |  2.47 ± 2.47   |  2.47 ± 2.47   |
+--------+----------------+----------------+
