+--------+--------------+--------------+
| Bin#   |    VBSWZH    |    Total     |
|--------+--------------+--------------+
| Bin0   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin1   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin2   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin3   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin4   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin5   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin6   | 2.47 ± 2.47  | 2.47 ± 2.47  |
| Bin7   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin8   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin9   |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin10  | 2.47 ± 2.47  | 2.47 ± 2.47  |
| Bin11  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin12  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin13  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin14  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin15  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin16  | 2.47 ± 2.47  | 2.47 ± 2.47  |
| Bin17  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin18  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin19  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin20  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin21  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin22  | 2.47 ± 2.47  | 2.47 ± 2.47  |
| Bin23  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin24  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin25  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin26  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin27  | 2.47 ± 2.47  | 2.47 ± 2.47  |
| Bin28  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin29  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin30  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin31  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin32  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin33  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin34  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin35  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin36  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin37  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin38  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin39  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin40  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin41  | 2.47 ± 2.47  | 2.47 ± 2.47  |
| Bin42  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin43  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin44  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin45  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin46  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin47  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin48  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin49  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin50  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin51  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin52  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin53  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin54  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin55  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin56  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin57  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin58  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin59  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin60  |  0.0 ± 0.0   |  0.0 ± 0.0   |
| Bin61  |  0.0 ± 0.0   |  0.0 ± 0.0   |
+--------+--------------+--------------+
