+--------+---------------+---------------+
| Bin#   |    VBSWZH     |     Total     |
|--------+---------------+---------------+
| Bin0   |   0.0 ± 0.0   |   0.0 ± 0.0   |
| Bin1   |   0.0 ± 0.0   |   0.0 ± 0.0   |
| Bin2   |   0.0 ± 0.0   |   0.0 ± 0.0   |
| Bin3   |  4.93 ± 3.49  |  4.93 ± 3.49  |
| Bin4   |   0.0 ± 0.0   |   0.0 ± 0.0   |
| Bin5   |  2.47 ± 2.47  |  2.47 ± 2.47  |
| Bin6   |  2.47 ± 2.47  |  2.47 ± 2.47  |
| Bin7   |  2.47 ± 2.47  |  2.47 ± 2.47  |
| Bin8   |  4.93 ± 3.49  |  4.93 ± 3.49  |
| Bin9   |  2.47 ± 2.47  |  2.47 ± 2.47  |
| Bin10  |  4.93 ± 3.49  |  4.93 ± 3.49  |
| Bin11  |  14.8 ± 6.04  |  14.8 ± 6.04  |
| Bin12  | 12.33 ± 5.51  | 12.33 ± 5.51  |
| Bin13  |  14.8 ± 6.04  |  14.8 ± 6.04  |
| Bin14  | 17.26 ± 6.52  | 17.26 ± 6.52  |
| Bin15  | 17.26 ± 6.52  | 17.26 ± 6.52  |
| Bin16  |  22.19 ± 7.4  |  22.19 ± 7.4  |
| Bin17  |  14.8 ± 6.04  |  14.8 ± 6.04  |
| Bin18  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin19  | 17.26 ± 6.52  | 17.26 ± 6.52  |
| Bin20  | 19.73 ± 6.97  | 19.73 ± 6.97  |
| Bin21  | 19.73 ± 6.97  | 19.73 ± 6.97  |
| Bin22  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin23  | 19.73 ± 6.97  | 19.73 ± 6.97  |
| Bin24  | 29.59 ± 8.54  | 29.59 ± 8.54  |
| Bin25  | 39.46 ± 9.86  | 39.46 ± 9.86  |
| Bin26  |  24.66 ± 7.8  |  24.66 ± 7.8  |
| Bin27  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin28  |  14.8 ± 6.04  |  14.8 ± 6.04  |
| Bin29  |  24.66 ± 7.8  |  24.66 ± 7.8  |
| Bin30  |  14.8 ± 6.04  |  14.8 ± 6.04  |
| Bin31  |  24.66 ± 7.8  |  24.66 ± 7.8  |
| Bin32  |  22.19 ± 7.4  |  22.19 ± 7.4  |
| Bin33  | 19.73 ± 6.97  | 19.73 ± 6.97  |
| Bin34  | 17.26 ± 6.52  | 17.26 ± 6.52  |
| Bin35  | 29.59 ± 8.54  | 29.59 ± 8.54  |
| Bin36  | 12.33 ± 5.51  | 12.33 ± 5.51  |
| Bin37  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin38  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin39  | 19.73 ± 6.97  | 19.73 ± 6.97  |
| Bin40  | 19.73 ± 6.97  | 19.73 ± 6.97  |
| Bin41  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin42  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin43  |  14.8 ± 6.04  |  14.8 ± 6.04  |
| Bin44  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin45  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin46  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin47  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin48  | 12.33 ± 5.51  | 12.33 ± 5.51  |
| Bin49  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin50  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin51  |  7.4 ± 4.27   |  7.4 ± 4.27   |
| Bin52  |  4.93 ± 3.49  |  4.93 ± 3.49  |
| Bin53  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin54  |  4.93 ± 3.49  |  4.93 ± 3.49  |
| Bin55  |  2.47 ± 2.47  |  2.47 ± 2.47  |
| Bin56  |  4.93 ± 3.49  |  4.93 ± 3.49  |
| Bin57  | 12.33 ± 5.51  | 12.33 ± 5.51  |
| Bin58  |  4.93 ± 3.49  |  4.93 ± 3.49  |
| Bin59  |  9.86 ± 4.93  |  9.86 ± 4.93  |
| Bin60  |  2.47 ± 2.47  |  2.47 ± 2.47  |
| Bin61  | 39.46 ± 9.86  | 39.46 ± 9.86  |
+--------+---------------+---------------+
